#SampleID	type	age	_sample_id	_calour_original_abundance
ERR2061448	HC	adult	ERR2061448	3132.0
ERR2061503	HC	adult	ERR2061503	5511.0
ERR2061547	HC	adult	ERR2061547	2004.0
ERR2061483	HC	adult	ERR2061483	1233.0
ERR2061498	HC	adult	ERR2061498	1792.0
ERR2061440	HC	adult	ERR2061440	6020.0
ERR2061561	HC	adult	ERR2061561	3934.0
ERR2061514	HC	adult	ERR2061514	9098.0
ERR2061459	HC	adult	ERR2061459	2287.0
ERR2061476	HC	adult	ERR2061476	3058.0
ERR2061543	HC	adult	ERR2061543	4075.0
ERR2061530	HC	adult	ERR2061530	7560.0
ERR2061512	HC	adult	ERR2061512	7398.0
ERR2061496	HC	adult	ERR2061496	4131.0
ERR2061464	HC	adult	ERR2061464	6712.0
ERR2061468	HC	adult	ERR2061468	1149.0
ERR2061511	HC	adult	ERR2061511	7715.0
ERR2061504	HC	adult	ERR2061504	8334.0
ERR2061463	HC	adult	ERR2061463	3033.0
ERR2061552	HC	adult	ERR2061552	3965.0
ERR2061491	HC	adult	ERR2061491	3291.0
ERR2061456	HC	adult	ERR2061456	7189.0
ERR2061447	HC	adult	ERR2061447	6217.0
ERR2061216	disease	adult	ERR2061216	3657.0
ERR2061273	disease	adult	ERR2061273	2851.0
ERR2061289	disease	adult	ERR2061289	5953.0
ERR2061287	disease	adult	ERR2061287	1612.0
ERR2061284	disease	adult	ERR2061284	4670.0
ERR2061339	disease	adult	ERR2061339	5858.0
ERR2061416	disease	adult	ERR2061416	3751.0
ERR2061283	disease	adult	ERR2061283	5435.0
ERR2061367	disease	adult	ERR2061367	5056.0
ERR2061371	disease	adult	ERR2061371	7467.0
ERR2061404	disease	adult	ERR2061404	1425.0
ERR2061237	disease	adult	ERR2061237	7937.0
ERR2061191	disease	adult	ERR2061191	2419.0
ERR2061343	disease	adult	ERR2061343	3841.0
ERR2061197	disease	adult	ERR2061197	3030.0
ERR2061364	disease	adult	ERR2061364	4092.0
ERR2061422	disease	adult	ERR2061422	7899.0
ERR2061286	disease	adult	ERR2061286	7447.0
ERR2061321	disease	adult	ERR2061321	5804.0
ERR2061194	disease	adult	ERR2061194	8402.0
ERR2061198	disease	adult	ERR2061198	4820.0
ERR2061394	disease	adult	ERR2061394	1958.0
ERR2061385	disease	adult	ERR2061385	1501.0
